"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-20","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"19",",,W","2",",,W",,,"  290",",,W","  290",",,W","21.9",",,W","36.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-21","4.47",",,W",,,"0.61",",,W,2400","3.0",",,W,","9.1",",,W,",,,"32",",,W","13",",,W",,,"  200",",,W","  180",",,W","14.1",",,W","23.0",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-22","2.91",",,W",,,"0.10",",,W,2400","1.0",",,W,","13.0",",,W,",,,"43",",,W","32",",,W",,,"  290",",,W","  280",",,W","12.1",",,W","17.0",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-23","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.8",",,W,",,,"38",",,W","8",",,W",,,"  310",",,W","  320",",,W","17.0",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-24","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.8",",,W,",,,"24",",,W","4",",,W",,,"  170",",,W","  180",",,W","14.1",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-25","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.8",",,W,",,,"37",",,W","20",",,W",,,"  280",",,W","  280",",,W","15.0",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-26","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.0",",,W,",,,"32",",,W","21",",,W",,,"   50",",,W","   50",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-27","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.0",",,W,",,,"30",",,W","18",",,W",,,"  310",",,W","  300",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-28","3.58",",,W",,,"0.00",",,W,2400","0.0",",,W,","11.0",",,W,",,,"29",",,W","13",",,W",,,"  350",",,W","  350",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-01","2.24",",,W",,,"0.52",",,W,2400","4.8",",,W,","9.8",",,W,",,,"31",",,W","24",",,W",,,"  170",",,W","  170",",,W","15.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-02","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,","15.0",",,W,",,,"39",",,W","27",",,W",,,"  310",",,W","  300",",,W","18.1",",,W","34.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-03","4.92",",,W",,,"0.67",",,W,2400","1.8",",,W,","14.2",",,W,",,,"37",",,W","22",",,W",,,"  240",",,W","  250",",,W","14.1",",,W","23.9",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-04","6.04",",,W",,,"0.25",",,W,2400","0.0",",,W,","13.0",",,W,",,,"45",",,W","35",",,W",,,"  250",",,W","  250",",,W","15.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-05","5.82",",,W",,,"0.76",",,W,2400","7.5",",,W,","13.0",",,W,",,,"40",",,W","19",",,W",,,"  310",",,W","  300",",,W","14.1",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-06","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W,","18.9",",,W,",,,"27",",,W","12",",,W",,,"  250",",,W","  250",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-07","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","18.1",",,W,",,,"38",",,W","18",",,W",,,"  250",",,W","  250",",,W","16.1",",,W","23.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-08","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","16.1",",,W,",,,"49",",,W","37",",,W",,,"  280",",,W","  270",",,W","19.9",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-09","4.70",",,W",,,"0.01",",,W,2400","0.0",",,W,","13.0",",,W,",,,"54",",,W","40",",,W",,,"  290",",,W","  290",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-10","3.58",",,W",,,"0.46",",,W,2400","0.0",",,W,","11.0",",,W,",,,"53",",,W","39",",,W",,,"  180",",,W","  170",",,W","12.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-11","6.93",",,W",,,"0.01",",,W,2400","0.0",",,W,","5.9",",,W,",,,"59",",,W","44",",,W",,,"  320",",,W","  330",",,W","14.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-12","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,",,,"47",",,W","36",",,W",,,"  350",",,W","  310",",,W","19.9",",,W","33.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-13","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,","2.0",",,W,",,,"43",",,W","31",",,W",,,"  170",",,W","  190",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-14","5.59",",,W",,,"0.81",",,W,2400","0.0",",,W,","1.2",",,W,",,,"51",",,W","40",",,W",,,"  160",",,W","  170",",,W","15.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-15","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"44",",,W","36",",,W",,,"  310",",,W","  320",",,W","23.0",",,W","40.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-16","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"52",",,W","35",",,W",,,"  310",",,W","  310",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-17","9.62",",,W",,,"0.02",",,W,2400","0.0",",,W,","0.0",",,W,",,,"57",",,W","34",",,W",,,"  310",",,W","  310",",,W","23.9",",,W","42.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-18","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"39",",,W","29",",,W",,,"  310",",,W","  290",",,W","19.9",",,W","35.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-03-19","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"43",",,W","29",",,W",,,"  280",",,W","  310",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,
